
车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
马自达2 2011款 炫动 1.5L 自动超值版,严选车,3.42,原价3.52万,2012-07,10.89万公里,国四,1.5,0次过户,2019-7,2019-7,2019-7,1.5L 103马力 L4,4档自动变速箱(AT),https://www.guazi.com/foshan/e7b905eeb42dd40ax.htm
吉利GX7 2013款 2.0L 自动进取型,严选车,3.55,原价3.72万,2013-11,4.44万公里,国四,2.0,1次过户,2019-11,2019-11,已过期,2.0L 141马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/2abe59bbf63e2029x.htm
中华V3 2016款 1.5L 手动精英型,严选车,3.84,原价4.2万,2017-08,3.61万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/foshan/f7c3f8fed9c909fax.htm
日产 骊威 2010款 劲悦版 1.6L 手动全能型,严选车,2.82,原价2.97万,2011-06,11.39万公里,国三,1.6,2次过户,2019-6,2019-6,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/200e1de81e6043e3x.htm
众泰 大迈X5 2017款 升级版 1.5T CVT总督型,严选车,5.80,原价6.23万,2017-04,1.44万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5T 150马力 L4,6档无级变速箱(CVT),https://www.guazi.com/dg/409117c8d6fce917x.htm
奥迪A8L 2013款 A8L 45 TFSI quattro舒适型(进口),严选车,32.20,原价32.61万,2012-06,8.08万公里,国四,3.0,0次过户,2019-6,2019-6,已过期,3.0T 290马力 V6,8档手自一体变速箱(AT),https://www.guazi.com/sz/8aad811df197275bx.htm
奥迪Q5 2013款 40 TFSI 舒适型,严选车,17.64,原价18.46万,2013-11,13.72万公里,国四,2.0,0次过户,2019-11,2019-11,已过期,2.0T 211马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/zhuhai/db2cbc2e802e98bax.htm
丰田 雷凌 2017款 改款 185T CVT精英版,严选车,¥9.15,新车指导价13.50万(含税),2017-10,2.54万公里,国五,1.2,0次过户,2019-10,2019-9,已过期,1.2T 116马力 L4,8档无级变速箱(CVT),https://www.guazi.com/sz/de0094b77ce9d524x.htm
现代 名图 2016款 1.8L 自动智能型GLS,严选车,¥9.00,新车指导价16.30万(含税),2016-11,7.51万公里,国五,1.8,0次过户,2020-11,2019-11,已过期,1.8L 143马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/1c5e50f67e0344ffx.htm
东南DX3 2018款 1.5L 手动尊贵型,严选车,5.13,原价5.61万,2017-11,1.58万公里,国五,1.5,0次过户,2019-11,2019-11,已过期,1.5L 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/20d0972a104a4ce8x.htm
海马S5 2016款 1.5T CVT创享版,严选车,5.24,原价5.72万,2016-09,3.8万公里,国五,1.5,1次过户,2020-9,2019-9,2019-9,1.5T 163马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/foshan/5d5f9f3592462f17x.htm
奥迪A4L 2013款 30 TFSI 手动舒适型,严选车,12.28,原价13.56万,2014-01,5.83万公里,国四,1.8,0次过户,2020-1,2020-1,已过期,1.8T 160马力 L4,6档手动变速箱(MT),https://www.guazi.com/nn/1bcc50ac7c89db22x.htm
马自达 昂克赛拉 2014款 两厢 1.5L 手动舒适型,严选车,¥6.09,新车指导价12.50万(含税),2015-02,12.7万公里,国五,1.5,0次过户,2021-2,2020-1,已过期,1.5L 117马力 L4,6档手动变速箱(MT),https://www.guazi.com/foshan/1993cd48d8339c35x.htm
比亚迪F3 2015款 节能版 1.5L 手动舒适型,严选车,2.65,原价2.76万,2015-12,5.82万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/562888e6a07efeabx.htm
吉利 远景SUV 2016款 1.3T CVT豪华型,严选车,5.79,原价5.83万,2016-09,2.33万公里,国五,1.3,0次过户,2020-9,2019-9,已过期,1.3T 133马力 L4,8档无级变速箱(CVT),https://www.guazi.com/huizhou/9892131f3ae7c8afx.htm
起亚KX3 2015款 1.6L 自动两驱DLX,严选车,7.11,原价7.44万,2015-09,7.51万公里,国五,1.6,0次过户,2019-9,2019-8,已过期,1.6L 125马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/cf3fc417b7be6fcax.htm
荣威RX5 2016款 20T 两驱自动旗舰版,严选车,8.47,原价8.76万,2016-09,4.94万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/nn/4923283a178e0ca4x.htm
北汽绅宝 绅宝D70 2018款 性能版 1.8T 舒适版,严选车,7.51,原价7.61万,2018-10,0.29万公里,国五,1.8,0次过户,2020-10,2019-10,已过期,1.8T 177马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/nn/39584353689669b6x.htm
日产 轩逸 2018款 经典 1.6XE+ CVT领先版,严选车,¥7.31,新车指导价12.20万(含税),2018-04,5.21万公里,国五,1.6,0次过户,2020-4,2020-3,已过期,1.6L 124马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/sz/acac312b48382d82x.htm
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,严选车,¥23.80,新车指导价32.00万(含税),2015-12,5.27万公里,国五,2.0,0次过户,2019-12,2019-12,已过期,2.0T 220马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/844887897ba5c90cx.htm
宝马1系 2013款 改款 118i 领先型(进口),严选车,11.05,原价11.52万,2013-11,7.03万公里,国四,1.6,2次过户,2019-11,2019-9,已过期,1.6T 170马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/nn/3d61c4a6191d7a2ax.htm
日产 轩逸 2018款 经典 1.6XE CVT舒适版,严选车,7.13,原价7.32万,2018-05,2.28万公里,国五,1.6,0次过户,2020-5,2020-5,已过期,1.6L 124马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/zhuhai/89c4982b8c0861dcx.htm
斯巴鲁 傲虎 2013款 2.5i 豪华版,严选车,¥13.91,新车指导价32.50万(含税),2013-12,7.04万公里,国四,2.5,0次过户,2019-12,2019-12,已过期,2.5L 173马力 H4,6档无级变速箱(CVT),https://www.guazi.com/sz/888e9415b4880c97x.htm
宝马X1 2016款 sDrive18Li 尊享型,严选车,19.80,原价20.31万,2017-10,2.69万公里,国五,1.5,0次过户,2019-10,2019-9,已过期,1.5T 136马力 L3,6档手自一体变速箱(AT),https://www.guazi.com/sz/d7f0457db857f2d6x.htm
奔驰GLK级 2014款 GLK 200 标准型,严选车,¥21.72,新车指导价41.00万(含税),2015-02,8.61万公里,国五,2.0,0次过户,2021-2,2019-12,已过期,2.0T 184马力 L4,7档手自一体变速箱(AT),https://www.guazi.com/sz/090d0ccb30ccdb73x.htm
福特 翼搏 2013款 1.5L 自动风尚型,严选车,4.55,原价4.75万,2013-09,7.03万公里,国四,1.5,1次过户,2019-9,2019-9,已过期,1.5L 110马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/nn/23e15824533ea699x.htm
别克 君威 2015款 1.6T 精英技术型,严选车,10.05,原价10.4万,2015-12,3.11万公里,国五,1.6,0次过户,2019-12,2019-12,已过期,1.6T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/c89fbc33ebbd20d6x.htm
奇瑞 瑞虎3 2016款 1.6L CVT风尚版,严选车,5.04,原价5.32万,2018-03,2.22万公里,国五,1.6,0次过户,2020-3,2020-5,已过期,1.6L 126马力 L4,7档无级变速箱(CVT),https://www.guazi.com/nn/ff943c36e8e570b2x.htm
大众 凌渡 2015款 280TSI DSG舒适版,严选车,10.56,原价10.71万,2015-06,3.46万公里,国五,1.4,0次过户,2019-6,2020-6,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/huizhou/be5fba0b1438d8d0x.htm
雪佛兰 2015款 赛欧3 1.5L AMT幸福天窗版,严选车,¥4.59,新车指导价8.70万(含税),2016-12,6.5万公里,国五,1.5,0次过户,2020-12,2019-12,已过期,1.5L 113马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/huizhou/352cef430e66566fx.htm
马自达CX-5 2013款 2.5L 自动四驱豪华型,严选车,¥11.20,新车指导价24.90万(含税),2014-01,10.32万公里,国四,2.5,0次过户,2020-1,2020-1,已过期,2.5L 196马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/1ece48de201e8515x.htm
众泰 大迈X5 2015款 1.5T 手动豪华型 国V,严选车,3.76,原价3.98万,2016-02,5.79万公里,国五,1.5,0次过户,2020-2,2020-2,2020-2,1.5T 150马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/86d7ce13ec099aecx.htm
东风风行 风行SX6 2016款 1.6L 手动豪华型,严选车,4.48,原价4.57万,2016-07,2.69万公里,国五,1.6,0次过户,2020-7,2019-7,已过期,1.6L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhongshan/18df6d737dee1894x.htm
奔腾X80 2013款 2.0L 自动舒适型,严选车,5.08,原价5.39万,2014-09,5.99万公里,国四,2.0,0次过户,2020-9,2019-9,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/505b26f392299753x.htm
吉利 博瑞 2018款 1.8T 尊尚智领版,严选车,9.52,原价10.22万,2018-05,1.21万公里,国五,1.8,0次过户,2020-5,2019-5,已过期,1.8T 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/340cce332830ef41x.htm
标致408 2018款 350THP 自动豪华版,严选车,8.38,原价8.89万,2018-02,4.16万公里,国五,1.6,0次过户,2020-2,2020-2,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/fbf29ff97d225933x.htm
长安 悦翔V7 2015款 1.6L 手动乐享型 国V,严选车,¥3.06,新车指导价7.70万(含税),2015-05,8.12万公里,国五,1.6,2次过户,2021-5,2019-6,已过期,1.6L 124马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/0990d03f0ab4a463x.htm
雷克萨斯NX 2017款 300 前驱 锋行版,严选车,¥32.72,新车指导价38.90万(含税),2018-01,0.75万公里,国五,2.0,0次过户,2020-1,2020-1,已过期,2.0T 238马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/4fba91cb220cc495x.htm
吉利 远景SUV 2016款 1.3T CVT旗舰型,严选车,5.96,原价6.16万,2016-12,3万公里,国五,1.3,0次过户,2020-12,2019-12,已过期,1.3T 133马力 L4,8档无级变速箱(CVT),https://www.guazi.com/foshan/d27d903435caba0bx.htm
标致408 2016款 1.6T 自动豪华版,严选车,8.32,原价8.97万,2016-10,5.33万公里,国五,1.6,0次过户,2020-10,2019-10,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/67e6221f7b944bf8x.htm
别克 昂科威 2018款 20T 两驱豪华型,严选车,¥15.80,新车指导价26.00万(含税),2018-09,2.32万公里,国五,1.5,0次过户,2020-9,2019-9,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/gz/494855f0fe6d57b8x.htm
福特 福克斯 2012款 三厢 1.6L 自动风尚型,严选车,5.18,原价5.37万,2014-04,6.71万公里,国四,1.6,0次过户,2020-4,2020-4,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/zhongshan/98c183cb6882f004x.htm
本田 锋范经典 2012款 1.5L 自动精英版,严选车,6.65,原价6.8万,2015-08,2.44万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5L 120马力 L4,5档自动变速箱(AT),https://www.guazi.com/zhongshan/3c988dece24ef775x.htm
东风风行 景逸X5 2013款 1.8T 手动尊享型,严选车,3.19,原价3.3万,2014-03,4.74万公里,国四,1.8,0次过户,2020-3,2020-3,已过期,1.8T 160马力 L4,5档手动变速箱(MT),https://www.guazi.com/liuzhou/ce55b667518106a0x.htm
本田 思域 2016款 180TURBO CVT舒适版,严选车,¥9.80,新车指导价13.90万(含税),2017-06,5.62万公里,国五,1.0,0次过户,2019-6,2019-6,已过期,1.0T 125马力 L3,无级变速档无级变速箱(CVT),https://www.guazi.com/dg/8102f734349b9369x.htm
现代 全新胜达 2013款 2.4L 自动两驱智能型,严选车,11.54,原价12.54万,2015-07,2.47万公里,国四,2.4,1次过户,2019-7,2019-6,已过期,2.4L 189马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/f49f7d8c7d6fc310x.htm
大众 帕萨特 2013款 2.0TSI DSG至尊版,严选车,10.31,原价10.86万,2013-01,8.36万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0T 200马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/gz/07530b1b93b37551x.htm
丰田 凯美瑞 2013款 2.5G 舒适版,严选车,11.56,原价12.29万,2014-11,4.26万公里,国五,2.5,0次过户,2020-11,2019-10,已过期,2.5L 184马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/6a7c6426f7ee0760x.htm
传祺GS5 2013款 1.8T 自动两驱豪华版,严选车,4.81,原价5.36万,2013-08,11.43万公里,国四,1.8,2次过户,2019-8,2019-8,已过期,1.8T 177马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/dg/5250a7547ffc2c33x.htm
现代 领动 2018款 1.6L 自动15周年特别版,严选车,¥8.27,新车指导价13.00万(含税),2018-02,1.04万公里,国五,1.6,0次过户,2020-2,2020-1,已过期,1.6L 130马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhuhai/3a604badb8d1689ax.htm
日产 天籁 2016款 改款 2.0L XL舒适版,严选车,¥12.90,新车指导价20.30万(含税),2016-12,4.03万公里,国五,2.0,0次过户,2020-12,2019-12,已过期,2.0L 150马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/nn/91876b97b190e4a0x.htm
东风风神A60 2012款 1.6L 自动豪华型,严选车,2.99,原价3.18万,2013-01,11.26万公里,国四,1.6,0次过户,2020-1,2020-1,已过期,1.6L 117马力 L4,4档自动变速箱(AT),https://www.guazi.com/foshan/4fb1c365c93e2ae0x.htm
别克 君威 2012款 2.0L 舒适版,严选车,7.10,原价7.29万,2013-07,6.09万公里,国四,2.0,0次过户,2019-7,2019-7,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/9e467b0ce94894a4x.htm
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,严选车,10.17,原价10.61万,2015-10,2.72万公里,国五,1.5,1次过户,2019-10,2019-8,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/huizhou/d487a1c47a664edbx.htm
铃木 天语 SX4 2009款 三厢 1.6L 自动精英型,严选车,3.39,原价3.67万,2011-07,9.36万公里,国四,1.6,0次过户,2019-7,2019-8,已过期,1.6L 109马力 L4,4档自动变速箱(AT),https://www.guazi.com/nn/ae6366b6f3205880x.htm
吉利 帝豪GS 2016款 运动版 1.3T 自动臻尚型,严选车,¥6.87,新车指导价11.80万(含税),2017-06,2.38万公里,国五,1.3,0次过户,2021-6,2020-6,已过期,1.3T 129马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/gz/6331e61c8f0b6d2cx.htm
本田 歌诗图 2014款 2.4L 豪华版,严选车,¥14.64,新车指导价28.20万(含税),2015-11,5.36万公里,国五,2.4,0次过户,2019-11,2019-10,已过期,2.4L 197马力 L4,5档自动变速箱(AT),https://www.guazi.com/foshan/27b7cfe0c95289adx.htm
奥迪Q5 2015款 40 TFSI 技术型,严选车,21.95,原价23.1万,2015-07,9.37万公里,国五,2.0,0次过户,2019-7,2019-7,已过期,2.0T 224马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/dg/fd7420204990d86ex.htm
大众 高尔夫 2017款 1.6L 自动舒适百万辆纪念版,严选车,¥9.46,新车指导价15.70万(含税),2017-11,1.71万公里,国五,1.6,0次过户,2019-11,2019-11,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/1f91d3a5b9bf4a9ax.htm
长安CS75 2014款 1.8T 自动精英型 国IV,严选车,5.92,原价6.04万,2015-07,4.36万公里,国五,1.8,0次过户,2019-7,2019-6,已过期,1.8T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dg/2917f6f06ef29688x.htm
东风风行 风行F600 2016款 F600L 1.5T 尊享型,严选车,5.57,原价5.62万,2017-01,8.03万公里,国五,1.5,0次过户,2021-1,2020-1,已过期,1.5T 136马力 L4,6档手动变速箱(MT),https://www.guazi.com/zhongshan/f9fef5db92e8347cx.htm
传祺GS5 2014款 1.8T 自动两驱超享版,严选车,5.41,原价5.72万,2014-11,8.01万公里,国四,1.8,0次过户,2020-11,2019-10,已过期,1.8T 177马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/foshan/599bb89a632f00eax.htm
吉利 经典帝豪 2013款 三厢 1.5L 手动进取型,严选车,¥2.65,新车指导价7.80万(含税),2013-06,6.54万公里,国四,1.5,0次过户,2019-6,2019-6,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/6ce6f597d90ba591x.htm
马自达CX-5 2013款 2.0L 自动两驱舒适型,严选车,10.16,原价10.73万,2014-01,3.9万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0L 155马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/6f87639ca610f597x.htm
五菱宏光 2014款 1.5L S舒适型,严选车,¥2.92,新车指导价7.10万(含税),2014-03,8.78万公里,国四,1.5,0次过户,2020-3,2020-3,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/2fe483a8d451d2efx.htm
众泰SR9 2017款 2.0T 手动极致之光版,严选车,5.80,原价5.95万,2017-01,1.79万公里,国五,2.0,0次过户,2021-1,2019-12,已过期,2.0T 190马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/f89d7e01b7209f67x.htm
起亚KX5 2016款 2.0L 自动两驱GLS,严选车,¥10.54,新车指导价18.60万(含税),2017-01,5.44万公里,国五,2.0,0次过户,2021-1,2020-6,已过期,2.0L 165马力 L4,6档自动变速箱(AT),https://www.guazi.com/gz/899c0335f51eb3c5x.htm
荣威RX5 2016款 20T 两驱自动互联网智享版,严选车,8.16,原价8.34万,2016-11,5.57万公里,国五,1.5,1次过户,2020-11,2019-11,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/nn/a51d045e0a9bf9dax.htm
荣威RX5 2018款 20T 两驱自动互联网智臻版,严选车,9.66,原价10.03万,2018-02,2.95万公里,国五,1.5,1次过户,2020-2,2020-1,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/zhongshan/b13bb761d9db9d3ex.htm
奥迪A3 2014款 Sportback 35 TFSI 自动时尚型,严选车,¥14.09,新车指导价23.80万(含税),2016-11,0.71万公里,国五,1.4,0次过户,2020-11,2019-10,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/bf065010728d93c5x.htm
吉利 远景SUV 2016款 1.3T CVT旗舰型,严选车,¥5.89,新车指导价11.10万(含税),2016-11,7.29万公里,国五,1.3,0次过户,2020-11,2019-11,已过期,1.3T 133马力 L4,8档无级变速箱(CVT),https://www.guazi.com/foshan/23d7a55991af8dfcx.htm
传祺GS5 2014款 2.0L 自动两驱周年增值版,严选车,6.12,原价6.51万,2014-11,5.57万公里,国四,2.0,0次过户,2020-11,2019-10,已过期,2.0L 147马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/gz/324a033d22946ba8x.htm
丰田 凯美瑞 2013款 200E 经典精英版,严选车,¥9.46,新车指导价19.80万(含税),2013-12,10.28万公里,国四,2.0,0次过户,2019-12,2019-12,已过期,2.0L 147马力 L4,4档自动变速箱(AT),https://www.guazi.com/sz/4deb9f57665debe7x.htm
奥迪A6L 2014款 30 FSI 技术型,严选车,21.63,原价22.45万,2014-12,7.53万公里,国五,2.5,1次过户,2020-12,2019-12,已过期,2.5L 190马力 V6,8档无级变速箱(CVT),https://www.guazi.com/nn/46f8c2a8b29f244cx.htm
现代 格越 2013款 3.0L 7座四驱豪华版(进口),严选车,12.12,原价12.49万,2014-10,6.28万公里,国四,3.0,0次过户,2020-10,2019-10,已过期,3.0L 264马力 V6,6档手自一体变速箱(AT),https://www.guazi.com/gz/347dda63658abc0ex.htm
本田 缤智 2017款 1.5L CVT两驱舒适型,严选车,¥10.99,新车指导价14.80万(含税),2018-11,0.55万公里,国五,1.5,0次过户,2020-11,2019-11,已过期,1.5L 131马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/huizhou/6b6e10765e96d3b6x.htm
北汽幻速S3 2017款 1.5L 手动豪华型,严选车,¥3.46,新车指导价6.40万(含税),2017-04,3.57万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/099daadf571a53c1x.htm
福特 福睿斯 2015款 1.5L 自动时尚型,严选车,5.90,原价6.14万,2015-03,5.32万公里,国五,1.5,1次过户,2021-3,2020-3,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/a34f690d34f985c1x.htm
长安CS75 2016款 1.8T 自动精英型 国V,严选车,¥7.35,新车指导价12.70万(含税),2017-07,2.7万公里,国五,1.8,0次过户,2019-7,2019-6,已过期,1.8T 177马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/2a57557257be2235x.htm
本田 缤智 2017款 1.8L CVT两驱智享型,严选车,12.01,原价12.27万,2017-05,2.98万公里,国五,1.8,0次过户,2021-5,2020-5,已过期,1.8L 136马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/0c8d5eba4f079977x.htm
长安CS95 2017款 2.0T 两驱智远版,严选车,¥10.67,新车指导价18.40万(含税),2017-08,2.86万公里,国五,2.0,0次过户,2019-8,2019-7,已过期,2.0T 233马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/8af06562cdf9819bx.htm
凯迪拉克ATS-L 2017款 28T 时尚型,严选车,¥19.31,新车指导价31.90万(含税),2017-10,3.53万公里,国五,2.0,0次过户,2019-10,2019-9,已过期,2.0T 279马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/sz/3c6ef64a197e5642x.htm
众泰T700 2017款 1.8T 双离合尊享型,严选车,8.23,原价8.46万,2017-09,0.85万公里,国五,1.8,0次过户,2019-9,2020-5,已过期,1.8T 177马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/nn/9dfbc68435170a7cx.htm
宝骏560 2016款 1.8L 手动豪华型,严选车,¥4.83,新车指导价9.10万(含税),2016-10,3.13万公里,国五,1.8,0次过户,2020-10,2019-9,已过期,1.8L 137马力 L4,6档手动变速箱(MT),https://www.guazi.com/liuzhou/04dd069431bee86ax.htm
日产 天籁 2013款 2.0L XL舒适版,严选车,¥10.63,新车指导价20.20万(含税),2014-01,10.29万公里,国四,2.0,0次过户,2020-1,2020-1,2020-1,2.0L 141马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/gz/a1b463c9018eece4x.htm
现代 全新胜达 2015款 2.0T 自动两驱智能型 5座,严选车,12.00,原价12.31万,2015-09,6.11万公里,国五,2.0,0次过户,2019-9,2019-9,已过期,2.0T 245马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/8292dfb21d4d6b2bx.htm
福特 福睿斯 2017款 1.5L 手动舒适型,严选车,5.21,原价5.33万,2016-12,1.92万公里,国五,1.5,0次过户,2020-12,2019-11,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/90d202617c9a71e1x.htm
现代 名图 2016款 1.6T 自动智能型GLS,严选车,10.10,原价10.44万,2016-12,1.5万公里,国五,1.6,0次过户,2020-12,2019-12,已过期,1.6T 175马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/huizhou/23bf7388db7a1ecbx.htm
现代 悦动 2011款 1.6L 手动舒适型,严选车,¥3.70,新车指导价10.80万(含税),2014-10,5.41万公里,国四,1.6,0次过户,2020-10,2019-10,已过期,1.6L 123马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/73f36c8bd8f9dbf0x.htm
传祺GS8 2017款 320T 四驱豪华智联版,严选车,¥13.39,新车指导价21.70万(含税),2017-06,3.08万公里,国五,2.0,0次过户,2021-6,2020-6,已过期,2.0T 201马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhuhai/7d965833ea9d9b00x.htm
奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版,严选车,3.45,原价3.63万,2016-06,6.76万公里,国五,1.5,1次过户,2020-6,2019-6,已过期,1.5L 116马力 L4,5档手动变速箱(MT),https://www.guazi.com/nn/6c26f42839154cd9x.htm
奥迪A1 2014款 30 TFSI 舒适型(进口),严选车,¥9.96,新车指导价27.10万(含税),2014-01,4.24万公里,国四,1.4,0次过户,2020-1,2020-3,已过期,1.4T 122马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/gz/8233a1a0980f6e67x.htm
北汽幻速S3 2015款 1.5L 豪华型 国V,严选车,¥3.21,新车指导价7.60万(含税),2015-05,5.43万公里,国五,1.5,1次过户,2021-5,2019-5,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/zhuhai/1be4b820799afbaex.htm
宝马3系 2015款 328i 运动设计套装,严选车,¥21.28,新车指导价47.30万(含税),2015-05,8.75万公里,国五,2.0,2次过户,2021-5,2020-4,已过期,2.0T 245马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/nn/87d2bf87f8c0d859x.htm
吉利 远景 2016款 1.5L 自动幸福版,严选车,¥3.55,新车指导价7.30万(含税),2016-09,5.39万公里,国五,1.5,0次过户,2020-9,2019-8,已过期,1.5L 109马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/zhuhai/69820ab60022adc7x.htm
荣威550 2012款 550 1.8L 手动足金限量版,严选车,2.67,原价2.75万,2013-01,14.08万公里,国四,1.8,0次过户,2020-1,2020-1,已过期,1.8L 133马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/8f6ba063d1364258x.htm
奥迪A3 2016款 Limousine 35 TFSI 领英型,严选车,¥13.75,新车指导价23.40万(含税),2016-07,4.43万公里,国五,1.4,0次过户,2020-7,2019-7,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/a50103267d9242e7x.htm
中华V3 2016款 1.5L 手动舒适型,严选车,3.47,原价3.59万,2017-02,4.21万公里,国五,1.5,0次过户,2021-2,2020-2,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/liuzhou/7490f021904abc75x.htm
吉利GX7 2014款 2.0L 自动尊贵型,严选车,3.72,原价4.06万,2014-07,8.92万公里,国四,2.0,3次过户,2020-7,2019-8,已过期,2.0L 141马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/8df9cd523423bb77x.htm
福特 蒙迪欧 2017款 改款 EcoBoost 180 豪华型,严选车,¥13.84,新车指导价23.20万(含税),2017-10,3.5万公里,国五,1.5,0次过户,2019-10,2019-10,已过期,1.5T 181马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/nn/1648f0673a1957c2x.htm
宝骏610 2014款 1.5L 手动舒适型,严选车,2.62,原价2.66万,2014-07,5.75万公里,国四,1.5,0次过户,2020-7,2019-7,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/liuzhou/b9352224f38e8afax.htm
福特 福睿斯 2015款 1.5L 自动时尚型,严选车,5.44,原价5.75万,2015-02,9.33万公里,国五,1.5,0次过户,2021-2,2020-2,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/87acf067738c7b00x.htm
